Mississippi,1,86.4,95.4,72.4,90.4,91.6,91.4,91.2
Oklahoma,2,87.1,93.7,72.9,95.8,92.4,91.3,91.7
Arkansas,3,88.5,90.5,75.4,91.9,91,84.1,97.3
Missouri,4,88.6,99,72,99.1,95.6,97.3,92
Wyoming,5,89.1,98.8,75.2,86.7,80.7,95.9,98.5
Tennessee,6,89.4,91.3,82.4,95.6,89.4,89.1,92.5
Alabama,7,89.6,96.9,71.6,103.2,92.8,88,96.7
Kansas,8,89.9,92.9,75.1,102.2,95.8,97.2,94.6
Indiana,9,90,90.1,75.5,97.4,99.4,96.2,96.3
Michigan,10,90.2,84.2,77.9,97.4,103.2,92.5,96.8
Texas,11,91.4,90,84.2,100.6,94.3,95.5,93.8
New Mexico,12,91.5,102.5,79.2,88.7,93.9,104.1,95.7
Iowa,13,91.5,98.1,78.8,100.3,97.5,98,94.5
Georgia,14,91.6,98.2,76.5,94,93.4,96.4,99.3
West Virginia,15,92.5,92.7,86.8,90.4,81.7,90.2,100.6
Ohio,16,93,97.5,76.9,93.8,102.3,96.8,101.2
Louisiana,17,93.1,99.3,86.8,89.4,97.7,94.3,95.6
Idaho,18,94,92.1,85.6,87.6,110.8,100.3,98.1
North Carolina,19,94.5,96.4,80.5,95.4,93.3,110.5,103
Nebraska,20,94.8,97.5,83.3,95.7,95.9,100.4,101.6
Kentucky,21,95,89,84.6,94.5,104,90.8,104
Illinois,22,95.7,94.3,89,97.3,103.9,99.2,98.7
Wisconsin,23,96.8,97.8,88.8,96.9,101.7,115.4,99
South Carolina,24,97.8,102.8,86.4,107,93.1,100.5,103.3
Arizona,25,97.9,99.9,95.3,107.4,105.7,94.9,95.1
South Dakota,26,98,103.3,109.1,92.1,93.8,95.9,90
Pennsylvania,27,98.4,100.6,92.8,106.9,107.7,92.1,98.1
Florida,28,99.1,108.2,95.6,100,98.8,96.3,98.6
North Dakota,29,99.6,108.9,93.2,90.4,105.8,115.9,99.9
Utah,30,100,102.8,96,93,108.4,95.3,102.5
Virginia,31,101.1,96.3,111.8,97.1,88.9,100,98.6
Minnesota,32,103.2,107.8,88.7,99.3,103.1,112.4,113.2
Delaware,33,104.7,107.2,98.3,98.8,102.5,101.2,111.6
Montana,34,105.9,104.9,113.3,85.9,98.2,106.6,107.8
New Hampshire,35,106.6,100.4,105.8,113.1,89,118.4,110.8
Colorado,36,107.3,101.9,126.1,86.7,103.2,103.1,101.9
Nevada,37,108.8,109.7,120.2,89.7,112.7,107.4,103.8
Washington,38,109.3,108.6,115.1,90.5,112.7,119,108.2
Maine,39,115.9,106.6,124.8,109.5,104.9,124,115.8
Vermont,40,117.2,110.5,140.5,115.9,112.2,103,104.4
Rhode Island,41,120.8,106.1,143.3,122.7,96,111.6,115.5
New Jersey,42,122.3,104.8,157.7,107.4,108.5,105.1,110.5
Massachusetts,43,129.2,113.7,167.1,106.7,110.5,121.5,116.8
Maryland,44,129.3,108.5,192.4,105.1,98,90.7,106.3
Oregon,45,129.4,112.6,185.1,87.4,118.1,113.7,107.8
Alaska,46,130.5,136.5,137.5,155.4,118.2,148.3,116.3
Connecticut,47,133,110.5,164.9,125.6,118.4,122.2,123.3
New York,48,134,112.2,195.7,106.1,105.4,104.6,111.8
California,49,137.2,116.6,192.7,120.8,126.1,111.4,111.1
District of Columbia,50,161,127.1,268.4,114.3,95,99.3,125.8
Hawaii,51,188.9,165.7,318.6,160.5,139.7,120.2,122.9
US Average,,100,100,100,100,100,100,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
